date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:32:59	811/811	---MCZ	200	added ('OK')	text/css	etag:W/%225dde8c32-32b%22	https://cdnjs.cloudflare.com/ajax/libs/Chart.js/2.9.3/Chart.css	C:/My%20Web%20Sites/prob_proj/cdnjs.cloudflare.com/ajax/libs/Chart.js/2.9.3/Chart.css	(from https://viruscovid.tech/)
14:32:59	14966/14966	---M-Z	200	added ('OK')	text/css	etag:W/%223a76-rlc1Vi+qvRotmAO7179MUCteT1E%22	https://cdn.jsdelivr.net/npm/select2@4.0.13/dist/css/select2.min.css	C:/My%20Web%20Sites/prob_proj/cdn.jsdelivr.net/npm/select2@4.0.13/dist/css/select2.min.css	(from https://viruscovid.tech/)
14:32:59	70851/70851	---M-Z	200	added ('OK')	application/javascript	etag:W/%22114c3-RzjX+YhdssuTcHZpdMj2si6ewp0%22	https://cdn.jsdelivr.net/npm/select2@4.0.13/dist/js/select2.min.js	C:/My%20Web%20Sites/prob_proj/cdn.jsdelivr.net/npm/select2@4.0.13/dist/js/select2.min.js	(from https://viruscovid.tech/)
14:33:00	970/970	---M--	200	added ('OK')	image/svg+xml	etag:%223ca-5a240e167ac35%22	https://viruscovid.tech/assets/img/moon.svg	C:/My%20Web%20Sites/prob_proj/viruscovid.tech/assets/img/moon.svg	(from https://viruscovid.tech/)
14:33:00	482/482	---M--	200	added ('OK')	image/svg+xml	etag:%221e2-5a2302d4d7c61%22	https://viruscovid.tech/assets/img/cases.svg	C:/My%20Web%20Sites/prob_proj/viruscovid.tech/assets/img/cases.svg	(from https://viruscovid.tech/)
14:33:01	438/438	---M--	200	added ('OK')	image/svg+xml	etag:%221b6-5a2302d4d7c61%22	https://viruscovid.tech/assets/img/deaths.svg	C:/My%20Web%20Sites/prob_proj/viruscovid.tech/assets/img/deaths.svg	(from https://viruscovid.tech/)
14:33:01	1935/1935	---M--	200	added ('OK')	image/svg+xml	etag:%2278f-5a2302d4d7c61%22	https://viruscovid.tech/assets/img/recoveries.svg	C:/My%20Web%20Sites/prob_proj/viruscovid.tech/assets/img/recoveries.svg	(from https://viruscovid.tech/)
14:33:01	10076/10076	---M--	200	added ('OK')	image/svg+xml	etag:%22275c-5a2302d4d7c61%22	https://viruscovid.tech/assets/img/active_cases.svg	C:/My%20Web%20Sites/prob_proj/viruscovid.tech/assets/img/active_cases.svg	(from https://viruscovid.tech/)
14:33:02	11440/11440	---M--	200	added ('OK')	image/png	etag:W/%222cb0-171a065eb55%22	https://corona.lmao.ninja/assets/img/flags/af.png	C:/My%20Web%20Sites/prob_proj/corona.lmao.ninja/assets/img/flags/af.png	(from https://viruscovid.tech/)
14:33:03	4206/4206	---M--	200	added ('OK')	image/png	etag:W/%22106e-171a065eb55%22	https://corona.lmao.ninja/assets/img/flags/al.png	C:/My%20Web%20Sites/prob_proj/corona.lmao.ninja/assets/img/flags/al.png	(from https://viruscovid.tech/)
14:33:04	2781/2781	---M--	200	added ('OK')	image/png	etag:W/%22add-171a065eb51%22	https://corona.lmao.ninja/assets/img/flags/dz.png	C:/My%20Web%20Sites/prob_proj/corona.lmao.ninja/assets/img/flags/dz.png	(from https://viruscovid.tech/)
14:33:05	8989/8989	---M--	200	added ('OK')	image/png	etag:W/%22231d-171a065eb55%22	https://corona.lmao.ninja/assets/img/flags/ad.png	C:/My%20Web%20Sites/prob_proj/corona.lmao.ninja/assets/img/flags/ad.png	(from https://viruscovid.tech/)
14:33:06	3623/3623	---M--	200	added ('OK')	image/png	etag:W/%22e27-171a065eb55%22	https://corona.lmao.ninja/assets/img/flags/ao.png	C:/My%20Web%20Sites/prob_proj/corona.lmao.ninja/assets/img/flags/ao.png	(from https://viruscovid.tech/)
14:33:07	3686/3686	---M--	200	added ('OK')	image/png	etag:W/%22e66-171a065eb55%22	https://corona.lmao.ninja/assets/img/flags/ai.png	C:/My%20Web%20Sites/prob_proj/corona.lmao.ninja/assets/img/flags/ai.png	(from https://viruscovid.tech/)
14:33:08	4644/4644	---M--	200	added ('OK')	image/png	etag:W/%221224-171a065eb55%22	https://corona.lmao.ninja/assets/img/flags/ag.png	C:/My%20Web%20Sites/prob_proj/corona.lmao.ninja/assets/img/flags/ag.png	(from https://viruscovid.tech/)
14:33:09	4292/4292	---M--	200	added ('OK')	image/png	etag:W/%2210c4-171a065eb55%22	https://corona.lmao.ninja/assets/img/flags/ar.png	C:/My%20Web%20Sites/prob_proj/corona.lmao.ninja/assets/img/flags/ar.png	(from https://viruscovid.tech/)
14:33:10	165/165	---M--	200	added ('OK')	image/png	etag:W/%22a5-171a065eb55%22	https://corona.lmao.ninja/assets/img/flags/am.png	C:/My%20Web%20Sites/prob_proj/corona.lmao.ninja/assets/img/flags/am.png	(from https://viruscovid.tech/)
14:33:11	1539/1539	---M--	200	added ('OK')	image/png	etag:W/%22603-171a065eb55%22	https://corona.lmao.ninja/assets/img/flags/aw.png	C:/My%20Web%20Sites/prob_proj/corona.lmao.ninja/assets/img/flags/aw.png	(from https://viruscovid.tech/)
14:33:12	3064/3064	---M--	200	added ('OK')	image/png	etag:W/%22bf8-171a065eb55%22	https://corona.lmao.ninja/assets/img/flags/au.png	C:/My%20Web%20Sites/prob_proj/corona.lmao.ninja/assets/img/flags/au.png	(from https://viruscovid.tech/)
14:33:13	211/211	---M--	200	added ('OK')	image/png	etag:W/%22d3-171a065eb55%22	https://corona.lmao.ninja/assets/img/flags/at.png	C:/My%20Web%20Sites/prob_proj/corona.lmao.ninja/assets/img/flags/at.png	(from https://viruscovid.tech/)
14:33:14	1024/1024	---M--	200	added ('OK')	image/png	etag:W/%22400-171a065eb55%22	https://corona.lmao.ninja/assets/img/flags/az.png	C:/My%20Web%20Sites/prob_proj/corona.lmao.ninja/assets/img/flags/az.png	(from https://viruscovid.tech/)
